Record_ID,Date,Text_Response,Customer_Sentiment
EDU_00001,17-02-2024,"To be fair, administrative support was responsive; The way updates were shared made me feel well-informed. Everything felt well coordinated. I felt respected and well supported. A little more clarity and consistency would make a big difference.",Positive
EDU_00002,09-03-2024,"Honestly, overall I felt unsupported at times; I noticed a few delays during the process. I expected quicker resolution and clearer updates. It left me disappointed. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00003,07-08-2024,"To be fair, assessment criteria were unclear; At one point, I needed clarification and the response was quick. It felt like departments weren’t aligned. This really needs improvement. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00004,04-01-2024,"Overall, feedback helped improve performance; The overall timeline felt reasonable compared to what I expected. I didn’t need to chase for updates. I’m satisfied with how things were handled. I appreciate the effort and hope the process becomes even smoother.",Positive
EDU_00005,08-02-2024,"To be fair, overall it was fine; Communication was clear across steps. Nothing major went wrong. Nothing stood out strongly either way. A little more clarity and consistency would make a big difference.",Neutral
EDU_00006,16-01-2024,"Looking back, rubrics were shared early; I noticed smooth handoffs during the process. The steps were explained in a simple way. I’m satisfied with how things were handled. A little more clarity and consistency would make a big difference.",Positive
EDU_00007,12-04-2024,"In my experience, projectors often failed; The way updates were shared made me feel confused. I expected quicker resolution and clearer updates. I hope this gets addressed for future customers. A little more clarity and consistency would make a big difference.",Negative
EDU_00008,08-04-2024,"In my experience, facilities were standard; The way updates were shared made me feel generally fine. A few small improvements would help. It was fine overall. I appreciate the effort and hope the process becomes even smoother.",Neutral
EDU_00009,17-02-2024,"Overall, approvals took 5 days; I noticed good coordination during the process. I didn’t get clear timelines when I asked. I expected better coordination. I’m sharing this so the experience can be improved for others.",Negative
EDU_00010,14-09-2024,"Honestly, feedback on doubts was delayed; Communication was clear across steps. I didn’t get clear timelines when I asked. I expected better coordination. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00011,17-05-2024,"To be fair, it was fine; At one point, I needed clarification and the response was helpful. It met the minimum expectations. Nothing stood out strongly either way. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00012,01-09-2024,"From start to finish, it worked most times; Communication was basic across steps. It met the minimum expectations. It was a standard experience. I appreciate the effort and hope the process becomes even smoother.",Neutral
EDU_00013,29-10-2024,"From start to finish, facilities were standard; The way updates were shared made me feel neither impressed nor upset. A few small improvements would help. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00014,12-03-2024,"During the entire process, faculty availability was limited; I noticed smooth handoffs during the process. I expected quicker resolution and clearer updates. This really needs improvement. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00015,31-05-2024,"Honestly, it was fine; I noticed smooth handoffs during the process. Nothing major went wrong. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00016,29-07-2024,"From start to finish, it was okay; Communication was supportive across steps. It met the minimum expectations. It was a standard experience. A little more clarity and consistency would make a big difference.",Neutral
EDU_00017,08-02-2024,"To be fair, assessment criteria were unclear; At one point, I needed clarification and the response was slow. It felt like departments weren’t aligned. This really needs improvement. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00018,03-10-2024,"During the entire process, administrative support was responsive; The way updates were shared made me feel supported. The process was transparent and predictable. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
EDU_00019,17-08-2024,"During the entire process, support seemed inconsistent; The way updates were shared made me feel ignored. I didn’t get clear timelines when I asked. It left me disappointed. A little more clarity and consistency would make a big difference.",Negative
EDU_00020,22-04-2024,"Honestly, teaching was fine; The way updates were shared made me feel neither impressed nor upset. Nothing major went wrong. It was a standard experience. A little more clarity and consistency would make a big difference.",Neutral
EDU_00021,17-04-2024,"During the entire process, it was hard to get time for mentoring; The overall timeline felt uncertain compared to what I expected. I didn’t get clear timelines when I asked. It added avoidable stress.",Negative
EDU_00022,24-09-2024,"Looking back, feedback helped improve performance; At one point, I needed clarification and the response was adequate. I appreciated the attention to detail. It left me feeling confident and relieved.",Positive
EDU_00023,19-08-2024,"Overall, queries were answered thoughtfully; The overall timeline felt uncertain compared to what I expected. I appreciated the attention to detail. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
EDU_00024,10-02-2024,"During the entire process, rubrics were shared early; I noticed smooth handoffs during the process. The steps were explained in a simple way. I’m satisfied with how things were handled. I’m sharing this so the experience can be improved for others.",Positive
EDU_00025,10-04-2024,"From start to finish, criteria were basic; The overall timeline felt long compared to what I expected. It was a routine experience. It was fine overall. I appreciate the effort and hope the process becomes even smoother.",Neutral
EDU_00026,07-01-2024,"During the entire process, connectivity issues disrupted sessions; Communication was clear across steps. The issue could have been avoided with better planning. It added avoidable stress. A little more clarity and consistency would make a big difference.",Negative
EDU_00027,04-01-2024,"Honestly, it exceeded my expectations; At one point, I needed clarification and the response was slow. The steps were explained in a simple way. I felt respected and well supported. I’m sharing this so the experience can be improved for others.",Positive
EDU_00028,12-06-2024,"If I summarize my experience, the curriculum felt relevant; I noticed a few delays during the process. Everything felt well coordinated. I felt respected and well supported. I’m sharing this so the experience can be improved for others.",Positive
EDU_00029,05-07-2024,"Honestly, responses were unclear; I noticed a few delays during the process. I had to follow up 4 times. This really needs improvement. I’m sharing this so the experience can be improved for others.",Negative
EDU_00030,27-11-2024,"If I summarize my experience, overall it was fine; Communication was clear across steps. It was a routine experience. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00031,02-06-2024,"From start to finish, examples were limited; At one point, I needed clarification and the response was adequate. It felt like departments weren’t aligned. It added avoidable stress. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00032,24-07-2024,"Overall, syllabus felt outdated; Communication was clear across steps. The issue could have been avoided with better planning. It left me disappointed. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00033,20-12-2024,"Overall, labs were accessible; The overall timeline felt short compared to what I expected. I didn’t need to chase for updates. I’d gladly recommend this to others. A little more clarity and consistency would make a big difference.",Positive
EDU_00034,28-11-2024,"During the entire process, administrative support was responsive; The way updates were shared made me feel at ease. Everything felt well coordinated. I’d gladly recommend this to others. I’m sharing this so the experience can be improved for others.",Positive
EDU_00035,23-04-2024,"If I summarize my experience, content matched learning goals; Communication was inconsistent across steps. The process was transparent and predictable. It made the whole experience much easier. A little more clarity and consistency would make a big difference.",Positive
EDU_00036,03-01-2024,"From start to finish, it was fine; The overall timeline felt reasonable compared to what I expected. It met the minimum expectations. It met basic expectations. I appreciate the effort and hope the process becomes even smoother.",Neutral
EDU_00037,11-08-2024,"During the entire process, curriculum was average; Communication was supportive across steps. It met the minimum expectations. It was fine overall. I appreciate the effort and hope the process becomes even smoother.",Neutral
EDU_00038,19-12-2024,"Honestly, requests were handled within 39 minutes; The way updates were shared made me feel at ease. I didn’t need to chase for updates. It made the whole experience much easier. A little more clarity and consistency would make a big difference.",Positive
EDU_00039,15-01-2024,"Overall, faculty were approachable; The overall timeline felt short compared to what I expected. Everything felt well coordinated. It made the whole experience much easier. I’m sharing this so the experience can be improved for others.",Positive
EDU_00040,08-02-2024,"From start to finish, support seemed inconsistent; At one point, I needed clarification and the response was adequate. The issue could have been avoided with better planning. I expected better coordination.",Negative
EDU_00041,23-05-2024,"Looking back, doubts were addressed patiently; The overall timeline felt uncertain compared to what I expected. The steps were explained in a simple way. I’m satisfied with how things were handled. I’m sharing this so the experience can be improved for others.",Positive
EDU_00042,21-09-2024,"Overall, it was average; The way updates were shared made me feel generally fine. It met the minimum expectations. Nothing stood out strongly either way. A little more clarity and consistency would make a big difference.",Neutral
EDU_00043,06-12-2024,"Looking back, sessions were standard; The overall timeline felt reasonable compared to what I expected. It met the minimum expectations. There’s room to improve, but it was okay. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00044,03-03-2024,"Honestly, approvals took 5 days; I noticed small gaps during the process. I had to follow up 2 times. It left me disappointed. I’m sharing this so the experience can be improved for others.",Negative
EDU_00045,29-10-2024,"Looking back, updates were irregular; At one point, I needed clarification and the response was slow. I expected quicker resolution and clearer updates. I expected better coordination. A little more clarity and consistency would make a big difference.",Negative
EDU_00046,28-10-2024,"In my experience, facilities were standard; The overall timeline felt short compared to what I expected. It was a routine experience. Nothing stood out strongly either way. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00047,07-08-2024,"During the entire process, it exceeded my expectations; I noticed smooth handoffs during the process. The process was transparent and predictable. It left me feeling confident and relieved. I’m sharing this so the experience can be improved for others.",Positive
EDU_00048,26-03-2024,"If I summarize my experience, mentoring sessions were useful; The way updates were shared made me feel supported. I appreciated the attention to detail. I’m satisfied with how things were handled. I’m sharing this so the experience can be improved for others.",Positive
EDU_00049,29-06-2024,"Overall, lab resources were limited; At one point, I needed clarification and the response was slow. I expected quicker resolution and clearer updates. It left me disappointed. I’m sharing this so the experience can be improved for others.",Negative
EDU_00050,15-09-2024,"If I summarize my experience, connectivity issues disrupted sessions; At one point, I needed clarification and the response was adequate. I expected quicker resolution and clearer updates. I hope this gets addressed for future customers.",Negative
EDU_00051,20-05-2024,"In my experience, internet and AV worked reliably; Communication was clear across steps. Everything felt well coordinated. It left me feeling confident and relieved. I’m sharing this so the experience can be improved for others.",Positive
EDU_00052,25-11-2024,"Honestly, facilities were standard; The overall timeline felt uncertain compared to what I expected. It was a routine experience. There’s room to improve, but it was okay. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00053,22-04-2024,"Honestly, the teaching was engaging and clear; Communication was inconsistent across steps. Everything felt well coordinated. I’m satisfied with how things were handled. A little more clarity and consistency would make a big difference.",Positive
EDU_00054,12-05-2024,"Honestly, overall it was fine; At one point, I needed clarification and the response was helpful. It was a routine experience. It was a standard experience. A little more clarity and consistency would make a big difference.",Neutral
EDU_00055,23-03-2024,"In my experience, overall I felt unsupported at times; At one point, I needed clarification and the response was helpful. The issue could have been avoided with better planning. I hope this gets addressed for future customers.",Negative
EDU_00056,02-11-2024,"In my experience, classes felt rushed; At one point, I needed clarification and the response was slow. The issue could have been avoided with better planning. I expected better coordination. I’m sharing this so the experience can be improved for others.",Negative
EDU_00057,22-03-2024,"Looking back, support was adequate; I noticed small gaps during the process. It met the minimum expectations. There’s room to improve, but it was okay. A little more clarity and consistency would make a big difference.",Neutral
EDU_00058,16-03-2024,"During the entire process, syllabus felt outdated; The way updates were shared made me feel tired of follow-ups. I didn’t get clear timelines when I asked. I hope this gets addressed for future customers.",Negative
EDU_00059,02-02-2024,"In my experience, it was hard to get time for mentoring; Communication was supportive across steps. I didn’t get clear timelines when I asked. This really needs improvement. A little more clarity and consistency would make a big difference.",Negative
EDU_00060,18-10-2024,"If I summarize my experience, the curriculum felt relevant; The way updates were shared made me feel well-informed. The steps were explained in a simple way. It left me feeling confident and relieved.",Positive
EDU_00061,23-01-2024,"From start to finish, support was average; The overall timeline felt uncertain compared to what I expected. Nothing major went wrong. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00062,09-04-2024,"Overall, feedback on doubts was delayed; I noticed good coordination during the process. I had to follow up 4 times. It left me disappointed. A little more clarity and consistency would make a big difference.",Negative
EDU_00063,14-11-2024,"From start to finish, feedback was delayed; I noticed small gaps during the process. I didn’t get clear timelines when I asked. I hope this gets addressed for future customers. I appreciate the effort and hope the process becomes even smoother.",Negative
EDU_00064,29-09-2024,"Overall, examples were limited; I noticed small gaps during the process. It felt like departments weren’t aligned. This really needs improvement. I’m sharing this so the experience can be improved for others.",Negative
EDU_00065,14-01-2024,"Overall, it worked most times; Communication was inconsistent across steps. It worked, but could be smoother. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
EDU_00066,21-05-2024,"If I summarize my experience, it was okay overall; I noticed smooth handoffs during the process. It worked, but could be smoother. There’s room to improve, but it was okay. I appreciate the effort and hope the process becomes even smoother.",Neutral
EDU_00067,19-08-2024,"Looking back, it exceeded my expectations; The overall timeline felt long compared to what I expected. I didn’t need to chase for updates. I’d gladly recommend this to others. I’m sharing this so the experience can be improved for others.",Positive
EDU_00068,02-03-2024,"In my experience, it was okay; I noticed good coordination during the process. A few small improvements would help. There’s room to improve, but it was okay. A little more clarity and consistency would make a big difference.",Neutral
EDU_00069,02-07-2024,"Overall, updates were irregular; At one point, I needed clarification and the response was adequate. It felt like departments weren’t aligned. This really needs improvement. A little more clarity and consistency would make a big difference.",Negative
EDU_00070,11-02-2024,"Honestly, placement support was okay; The overall timeline felt uncertain compared to what I expected. It was a routine experience. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
