Record_ID,Date,Text_Response,Customer_Sentiment
HEA_00001,13-07-2024,"If I summarize my experience, meals met basic needs; At one point, I needed clarification and the response was adequate. It was a routine experience. It met basic expectations. I’m sharing this so the experience can be improved for others.",Neutral
HEA_00002,26-12-2024,"In my experience, I had to remind staff repeatedly; I noticed a few delays during the process. It felt like departments weren’t aligned. It added avoidable stress. I’m sharing this so the experience can be improved for others.",Negative
HEA_00003,08-07-2024,"During the entire process, staff responded quickly to the call bell; Communication was basic across steps. Everything felt well coordinated. It made the whole experience much easier. I’m sharing this so the experience can be improved for others.",Positive
HEA_00004,18-12-2024,"From start to finish, paperwork was completed smoothly; Communication was supportive across steps. The process was transparent and predictable. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
HEA_00005,10-06-2024,"Overall, equipment and rooms looked modern; The overall timeline felt uncertain compared to what I expected. The steps were explained in a simple way. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
HEA_00006,04-07-2024,"Looking back, housekeeping was average; I noticed smooth handoffs during the process. Nothing major went wrong. Nothing stood out strongly either way. A little more clarity and consistency would make a big difference.",Neutral
HEA_00007,01-11-2024,"In my experience, housekeeping was consistent; The way updates were shared made me feel supported. Everything felt well coordinated. I’d gladly recommend this to others. A little more clarity and consistency would make a big difference.",Positive
HEA_00008,02-01-2024,"Looking back, meals met basic needs; The overall timeline felt reasonable compared to what I expected. It worked, but could be smoother. It was fine overall. A little more clarity and consistency would make a big difference.",Neutral
HEA_00009,07-09-2024,"During the entire process, medication process was standard; I noticed small gaps during the process. A few small improvements would help. It was fine overall. A little more clarity and consistency would make a big difference.",Neutral
HEA_00010,06-03-2024,"During the entire process, the consultant answered questions patiently; I noticed small gaps during the process. Everything felt well coordinated. It left me feeling confident and relieved. I’m sharing this so the experience can be improved for others.",Positive
HEA_00011,21-09-2024,"Honestly, food was okay; Communication was basic across steps. It met the minimum expectations. It was a standard experience. A little more clarity and consistency would make a big difference.",Neutral
HEA_00012,04-02-2024,"Overall, meals were timely and suitable for my diet; At one point, I needed clarification and the response was slow. I didn’t need to chase for updates. I’d gladly recommend this to others. I’m sharing this so the experience can be improved for others.",Positive
HEA_00013,07-04-2024,"During the entire process, updates from the doctor felt rushed; The way updates were shared made me feel tired of follow-ups. It felt like departments weren’t aligned. I hope this gets addressed for future customers.",Negative
