Record_ID,Date,Text_Response,Customer_Sentiment
MAN_00001,26-06-2024,"During the entire process, it was fine; I noticed smooth handoffs during the process. It worked, but could be smoother. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
MAN_00002,29-11-2024,"During the entire process, hazards were not addressed quickly; Communication was basic across steps. I had to follow up 5 times. It added avoidable stress. A little more clarity and consistency would make a big difference.",Negative
MAN_00003,18-11-2024,"To be fair, defect rate has been low recently; The way updates were shared made me feel well-informed. Everything felt well coordinated. I felt respected and well supported. A little more clarity and consistency would make a big difference.",Positive
MAN_00004,30-12-2024,"In my experience, collaboration improved outcomes; I noticed a few delays during the process. I didn’t need to chase for updates. It made the whole experience much easier. A little more clarity and consistency would make a big difference.",Positive
MAN_00005,25-02-2024,"Overall, training felt rushed; At one point, I needed clarification and the response was helpful. The issue could have been avoided with better planning. I expected better coordination. A little more clarity and consistency would make a big difference.",Negative
MAN_00006,31-10-2024,"Honestly, it’s average overall; At one point, I needed clarification and the response was helpful. A few small improvements would help. It met basic expectations. I’m sharing this so the experience can be improved for others.",Neutral
MAN_00007,15-07-2024,"In my experience, defect rate has been low recently; I noticed small gaps during the process. I appreciated the attention to detail. I’d gladly recommend this to others. I’m sharing this so the experience can be improved for others.",Positive
MAN_00008,09-09-2024,"Overall, product quality met specifications; At one point, I needed clarification and the response was helpful. The steps were explained in a simple way. It left me feeling confident and relieved. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00009,26-02-2024,"From start to finish, efficiency was average; The way updates were shared made me feel neutral. It was a routine experience. There’s room to improve, but it was okay. I’m sharing this so the experience can be improved for others.",Neutral
MAN_00010,16-09-2024,"During the entire process, new joiners struggled without support; At one point, I needed clarification and the response was helpful. I didn’t get clear timelines when I asked. I expected better coordination.",Negative
MAN_00011,20-12-2024,"In my experience, it met minimum needs; The way updates were shared made me feel generally fine. It worked, but could be smoother. It was fine overall. A little more clarity and consistency would make a big difference.",Neutral
MAN_00012,16-10-2024,"If I summarize my experience, it’s acceptable; I noticed a few delays during the process. A few small improvements would help. It was a standard experience. A little more clarity and consistency would make a big difference.",Neutral
MAN_00013,17-11-2024,"Honestly, overall operations felt stable; I noticed small gaps during the process. I appreciated the attention to detail. I’m satisfied with how things were handled. I’m sharing this so the experience can be improved for others.",Positive
MAN_00014,09-01-2024,"If I summarize my experience, machine uptime improved this month; I noticed a few delays during the process. I didn’t need to chase for updates. I’m satisfied with how things were handled. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00015,03-12-2024,"To be fair, rework levels were higher than expected; The way updates were shared made me feel tired of follow-ups. It felt like departments weren’t aligned. I expected better coordination. A little more clarity and consistency would make a big difference.",Negative
MAN_00016,09-09-2024,"Overall, lighting and ventilation were good; At one point, I needed clarification and the response was adequate. The process was transparent and predictable. I felt respected and well supported. A little more clarity and consistency would make a big difference.",Positive
MAN_00017,19-01-2024,"From start to finish, PPE availability was consistent; The way updates were shared made me feel supported. I didn’t need to chase for updates. It left me feeling confident and relieved. A little more clarity and consistency would make a big difference.",Positive
MAN_00018,30-12-2024,"In my experience, mentoring helped reduce errors; The overall timeline felt short compared to what I expected. The process was transparent and predictable. I felt respected and well supported. I’m sharing this so the experience can be improved for others.",Positive
MAN_00019,16-04-2024,"During the entire process, overall operations felt stable; The overall timeline felt reasonable compared to what I expected. The process was transparent and predictable. I’d gladly recommend this to others.",Positive
MAN_00020,31-08-2024,"In my experience, decisions were communicated late; The overall timeline felt short compared to what I expected. The issue could have been avoided with better planning. This really needs improvement. I appreciate the effort and hope the process becomes even smoother.",Negative
MAN_00021,07-03-2024,"If I summarize my experience, handoffs between stations improved; Communication was clear across steps. I didn’t need to chase for updates. I felt respected and well supported. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00022,07-05-2024,"Overall, overall operations felt stable; I noticed small gaps during the process. I appreciated the attention to detail. I felt respected and well supported. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00023,13-01-2024,"To be fair, collaboration improved outcomes; At one point, I needed clarification and the response was helpful. I appreciated the attention to detail. I’d gladly recommend this to others. I’m sharing this so the experience can be improved for others.",Positive
MAN_00024,27-12-2024,"To be fair, coordination needs improvement; Communication was inconsistent across steps. It felt like departments weren’t aligned. It added avoidable stress. I appreciate the effort and hope the process becomes even smoother.",Negative
MAN_00025,12-05-2024,"During the entire process, safety practices were routine; The overall timeline felt long compared to what I expected. It worked, but could be smoother. It met basic expectations. I appreciate the effort and hope the process becomes even smoother.",Neutral
MAN_00026,24-01-2024,"During the entire process, overall it was average; Communication was inconsistent across steps. It worked, but could be smoother. It was fine overall. I’m sharing this so the experience can be improved for others.",Neutral
MAN_00027,24-01-2024,"In my experience, the shop-floor was organized; The overall timeline felt long compared to what I expected. I didn’t need to chase for updates. I’m satisfied with how things were handled. I’m sharing this so the experience can be improved for others.",Positive
MAN_00028,07-05-2024,"Overall, preventive maintenance was timely; The overall timeline felt uncertain compared to what I expected. Everything felt well coordinated. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00029,10-03-2024,"Honestly, new SOPs were explained clearly; The way updates were shared made me feel reassured. I appreciated the attention to detail. It left me feeling confident and relieved. A little more clarity and consistency would make a big difference.",Positive
MAN_00030,25-12-2024,"From start to finish, collaboration improved outcomes; The overall timeline felt uncertain compared to what I expected. The steps were explained in a simple way. It made the whole experience much easier.",Positive
MAN_00031,04-10-2024,"Looking back, PPE stock ran out; The way updates were shared made me feel ignored. I had to follow up 5 times. I hope this gets addressed for future customers. A little more clarity and consistency would make a big difference.",Negative
MAN_00032,26-12-2024,"During the entire process, leaders communicated targets clearly; I noticed a few delays during the process. The process was transparent and predictable. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00033,20-05-2024,"In my experience, feedback was welcomed; I noticed a few delays during the process. The process was transparent and predictable. It left me feeling confident and relieved. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00034,30-04-2024,"Looking back, quality was acceptable; At one point, I needed clarification and the response was slow. Nothing major went wrong. There’s room to improve, but it was okay. I’m sharing this so the experience can be improved for others.",Neutral
MAN_00035,18-07-2024,"If I summarize my experience, new SOPs were explained clearly; At one point, I needed clarification and the response was adequate. I appreciated the attention to detail. It left me feeling confident and relieved.",Positive
MAN_00036,28-07-2024,"From start to finish, mentoring helped reduce errors; The way updates were shared made me feel supported. The process was transparent and predictable. I’d gladly recommend this to others. I appreciate the effort and hope the process becomes even smoother.",Positive
MAN_00037,20-07-2024,"During the entire process, lighting and ventilation were good; Communication was clear across steps. The steps were explained in a simple way. It left me feeling confident and relieved. A little more clarity and consistency would make a big difference.",Positive
MAN_00038,16-08-2024,"Overall, overall the shift was stressful; The overall timeline felt short compared to what I expected. I had to follow up 4 times. This really needs improvement. A little more clarity and consistency would make a big difference.",Negative
MAN_00039,23-05-2024,"If I summarize my experience, new joiners struggled without support; At one point, I needed clarification and the response was helpful. I had to follow up 6 times. This really needs improvement. A little more clarity and consistency would make a big difference.",Negative
MAN_00040,20-03-2024,"To be fair, overall it was average; The way updates were shared made me feel neither impressed nor upset. It worked, but could be smoother. It was a standard experience. I’m sharing this so the experience can be improved for others.",Neutral
MAN_00041,19-07-2024,"To be fair, process flow felt streamlined; The way updates were shared made me feel reassured. The steps were explained in a simple way. It made the whole experience much easier. A little more clarity and consistency would make a big difference.",Positive
MAN_00042,20-03-2024,"To be fair, overall operations felt stable; The way updates were shared made me feel supported. The steps were explained in a simple way. It left me feeling confident and relieved. A little more clarity and consistency would make a big difference.",Positive
MAN_00043,22-09-2024,"From start to finish, noise and heat affected focus; The way updates were shared made me feel let down. I had to follow up 5 times. It added avoidable stress. A little more clarity and consistency would make a big difference.",Negative
MAN_00044,28-03-2024,"During the entire process, coverage was basic; I noticed good coordination during the process. A few small improvements would help. Nothing stood out strongly either way. A little more clarity and consistency would make a big difference.",Neutral
MAN_00045,02-05-2024,"From start to finish, machines were down for 21 minutes; The overall timeline felt long compared to what I expected. It felt like departments weren’t aligned. This really needs improvement. I’m sharing this so the experience can be improved for others.",Negative
MAN_00046,19-02-2024,"To be fair, machines were down for 21 minutes; At one point, I needed clarification and the response was helpful. The issue could have been avoided with better planning. This really needs improvement.",Negative
MAN_00047,09-08-2024,"Honestly, maintenance was routine; I noticed smooth handoffs during the process. It worked, but could be smoother. It was fine overall. A little more clarity and consistency would make a big difference.",Neutral
